product_category_name_english,review_score
agro_industry_and_commerce,4.0
air_conditioning,3.969178082191781
art,3.9371980676328504
arts_and_craftmanship,4.125
audio,3.8254847645429364
auto,4.065511511986708
baby,4.011811023622047
bed_bath_table,3.8956631049654304
books_general_interest,4.446265938069216
books_imported,4.4
books_technical,4.368421052631579
cds_dvds_musicals,4.642857142857143
christmas_supplies,4.02054794520548
cine_photo,4.205479452054795
computers,4.175
computers_accessories,3.9308192126385526
consoles_games,4.0230700976042595
construction_tools_construction,4.052915766738661
construction_tools_lights,4.054054054054054
construction_tools_safety,3.844559585492228
cool_stuff,4.146341463414634
costruction_tools_garden,4.054166666666666
costruction_tools_tools,4.444444444444445
diapers_and_hygiene,3.2564102564102564
drinks,4.047745358090186
dvds_blu_ray,4.079365079365079
electronics,4.037468170243725
fashio_female_clothing,3.78
fashion_bags_accessories,4.144678764100049
fashion_childrens_clothes,4.5
fashion_male_clothing,3.6412213740458017
fashion_shoes,4.233716475095785
fashion_sport,4.258064516129032
fashion_underwear_beach,3.976923076923077
fixed_telephony,3.683206106870229
flowers,4.419354838709677
food,4.218181818181818
food_drink,4.315412186379929
furniture_bedroom,4.118181818181818
furniture_decor,3.9034929780338494
furniture_living_room,3.904382470119522
furniture_mattress_and_upholstery,3.8157894736842106
garden_tools,4.042735042735043
health_beauty,4.1427682737169516
home_appliances,4.172456575682382
home_appliances_2,4.142857142857143
home_comfort_2,3.6296296296296298
home_confort,3.829885057471264
home_construction,3.94
housewares,4.055019444044361
industry_commerce_and_business,4.101503759398496
kitchen_dining_laundry_garden_furniture,3.9642857142857144
la_cuisine,4.0
luggage_accessories,4.315257352941177
market_place,4.019417475728155
music,4.2105263157894735
musical_instruments,4.152592592592592
office_furniture,3.4931831653823355
party_supplies,3.7674418604651163
perfumery,4.161940952937737
pet_shop,4.185146982980918
security_and_services,2.5
signaling_and_security,4.086294416243655
small_appliances,4.149187592319055
small_appliances_home_oven_and_coffee,4.302631578947368
sports_leisure,4.107986111111111
stationery,4.193857199840447
tablets_printing_image,4.1234567901234565
telephony,3.946867389860527
toys,4.158640919090687
watches_gifts,4.019159663865546
